Trait,Genre,Coefficient,Abs_Coefficient,Direction
Neuroticism,Country,-0.10783833314139459,0.10783833314139459,Negative
Neuroticism,Classical music,-0.0068265532292266255,0.0068265532292266255,Negative
Neuroticism,Musical,0.07573308226129216,0.07573308226129216,Positive
Neuroticism,Pop,0.026741082687768383,0.026741082687768383,Positive
Neuroticism,Rock,0.04210814538934995,0.04210814538934995,Positive
Neuroticism,Metal or Hardrock,-0.05859231391393694,0.05859231391393694,Negative
Neuroticism,Punk,-0.009510378124181025,0.009510378124181025,Negative
Neuroticism,"Hiphop, Rap",-0.09497986370755133,0.09497986370755133,Negative
Neuroticism,"Reggae, Ska",-0.023052596941224926,0.023052596941224926,Negative
Neuroticism,"Swing, Jazz",-0.028455528849436185,0.028455528849436185,Negative
Neuroticism,Rock n roll,-0.0027021499549638984,0.0027021499549638984,Negative
Neuroticism,Alternative,0.012287641382943673,0.012287641382943673,Positive
Neuroticism,Latino,0.08353041945482449,0.08353041945482449,Positive
Neuroticism,"Techno, Trance",0.023102411294209108,0.023102411294209108,Positive
Neuroticism,Opera,-0.027137628973133408,0.027137628973133408,Negative
